"programa";"id_unidade";"sigla";"sigla_academica";"area_cnpq"
"PROGRAMA DE PÓS-GRADUAÇÃO EM HISTÓRIA";"435";"PPGH/CCHLA";"PPGH      ";"Ciências Humanas"
"PROGRAMA DE PÓS-GRADUAÇÃO EM HISTÓRIA/CERES";"11655";"MHIST/CERES";"MHIST     ";"Ciências Humanas"
"PROGRAMA DE PÓS-GRADUAÇÃO EM INOVAÇÃO EM TECNOLOGIAS EDUCACIONAIS";"10481";"PPgITE/IMD";"PPGITE    ";"Outra"
"PROGRAMA DE PÓS-GRADUAÇÃO EM LETRAS - PROFLETRAS CURRAIS NOVOS";"7763";"PROFLETRAS/CN";"LCN       ";"Linguística, Letras e Artes"
"PROGRAMA DE PÓS-GRADUAÇÃO EM LETRAS - PROFLETRAS NATAL";"7762";"PROFLETRAS/NAT";"LNT       ";"Linguística, Letras e Artes"
"PROGRAMA DE PÓS-GRADUAÇÃO EM MATEMÁTICA APLICADA E ESTATÍSTICA";"2595";"PPGMAE";"PGMAE     ";"Ciências Exatas e da Terra"
"PROGRAMA DE PÓS-GRADUAÇÃO EM MATEMÁTICA - REDE NACIONAL";"5671";"PROFMAT";"MRN       ";"Ciências Exatas e da Terra"
"PROGRAMA DE PÓS-GRADUAÇÃO EM MÚSICA";"7261";"PPGMUS";"MMU       ";"Linguística, Letras e Artes"
"PROGRAMA DE PÓS-GRADUAÇÃO EM NANOTECNOLOGIA FARMACÊUTICA";"6030";"PPGNF/CCS";"PNF       ";"Ciências da Saúde"
"PROGRAMA DE PÓS-GRADUAÇÃO EM NEUROCIÊNCIAS";"5207";"PPGNEURO";"PGNE      ";"Ciências Biológicas"
"PROGRAMA DE PÓS-GRADUAÇÃO EM NUTRIÇÃO";"8191";"PPGNUT";"PGN       ";"Ciências da Saúde"
"PROGRAMA DE PÓS-GRADUAÇÃO EM PATOLOGIA ORAL";"1760";"PAT- ORAL";"PATORAL   ";"Ciências da Saúde"
"PROGRAMA DE PÓS-GRADUAÇÃO EM PRODUÇÃO ANIMAL";"4848";"PPGPA/EAJ/UFRN";"PGPA      ";"Ciências Agrárias"
"PROGRAMA DE PÓS-GRADUAÇÃO EM PSICOBIOLOGIA";"367";"PSICOB/CB";"PSICOB    ";"Ciências Biológicas"
"PROGRAMA DE PÓS-GRADUAÇÃO EM PSICOBIOLOGIA";"367";"PSICOB/CB";"PSICOB    ";"Outra"
"PROGRAMA DE PÓS-GRADUAÇÃO EM PSICOLOGIA";"64";"PPGPSI/CCHLA";"PPGPSI    ";"Ciências Humanas"
"PROGRAMA DE PÓS-GRADUAÇÃO EM QUÍMICA";"85";"PPGQ/CCET";"PPGQ      ";"Ciências Exatas e da Terra"
"PROGRAMA DE PÓS-GRADUAÇÃO EM QUÍMICA - REDE NACIONAL";"9493";"PMPQRN/IQ";"PFQ       ";"Ciências Exatas e da Terra"
"PROGRAMA DE PÓS-GRADUAÇÃO EM SAÚDE COLETIVA";"5670";"PPGSCOL";"PSC       ";"Ciências da Saúde"
