"datas";"exames_solicitados";"casos_descartados";"casos_positivos";"casos_obito";"exames_solicitados_acumulado";"casos_descartados_acumulado";"casos_positivos_acumulado";"casos_obito_acumulado"
2020-05-15;176;81;95;10;6825;4714;2111;176
2020-05-16;77;32;45;8;6902;4746;2156;184
2020-05-17;39;13;26;9;6941;4759;2182;193
2020-05-18;180;73;107;8;7121;4832;2289;201
2020-05-19;201;97;104;12;7322;4929;2393;213
2020-05-20;155;77;78;10;7477;5006;2471;223
2020-05-21;215;101;114;9;7692;5107;2585;232
2020-05-22;190;89;101;9;7882;5196;2686;241
2020-05-23;83;36;47;7;7965;5232;2733;248
2020-05-24;52;17;35;9;8017;5249;2768;257
2020-05-25;224;98;126;14;8241;5347;2894;271
2020-05-26;224;102;122;9;8465;5449;3016;280
2020-05-27;224;72;152;10;8689;5521;3168;290
2020-05-28;264;107;157;13;8953;5628;3325;303
2020-05-29;251;112;139;7;9204;5740;3464;310
2020-05-30;111;45;66;6;9315;5785;3530;316
2020-05-31;69;31;38;15;9384;5816;3568;331
2020-06-01;327;150;177;9;9711;5966;3745;340
2020-06-02;278;164;114;10;9989;6130;3859;350
2020-06-03;253;184;69;4;10242;6314;3928;354
2020-06-04;226;186;40;9;10468;6500;3968;363
2020-06-05;103;77;26;7;10571;6577;3994;370
2020-06-06;14;9;5;8;10585;6586;3999;378
2020-06-07;17;6;11;3;10602;6592;4010;381
2020-06-08;206;85;121;6;10808;6677;4131;387
2020-06-09;274;111;163;0;11082;6788;4294;387
2020-06-10;149;56;93;0;11231;6844;4387;387
2020-06-11;52;21;31;0;11283;6865;4418;387
2020-06-12;44;13;31;0;11327;6878;4449;387
2020-06-13;21;7;14;0;11348;6885;4463;387
2020-06-14;19;5;14;0;11367;6890;4477;387
2020-06-15;143;48;95;0;11510;6938;4572;387
2020-06-16;317;108;209;0;11827;7046;4781;387
2020-06-17;293;105;188;0;12120;7151;4969;387
2020-06-18;244;102;142;0;12364;7253;5111;387
2020-06-19;272;105;167;0;12636;7358;5278;387
2020-06-20;93;30;63;0;12729;7388;5341;387
2020-06-21;63;21;42;0;12792;7409;5383;387
2020-06-22;150;61;89;0;12942;7470;5472;387
2020-06-23;244;105;139;0;13186;7575;5611;387
2020-06-24;273;130;143;0;13459;7705;5754;387
2020-06-25;352;172;180;0;13811;7877;5934;387
2020-06-26;308;144;164;0;14119;8021;6098;387
2020-06-27;80;46;34;0;14199;8067;6132;387
2020-06-28;64;31;33;0;14263;8098;6165;387
2020-06-29;172;84;88;0;14435;8182;6253;387
2020-06-30;331;171;160;0;14766;8353;6413;387
2020-07-01;301;157;144;0;15067;8510;6557;387
2020-07-02;301;167;134;0;15368;8677;6691;387
2020-07-03;98;79;19;0;15466;8756;6710;387
2020-07-04;7;4;3;0;15473;8760;6713;387
2020-07-05;10;8;2;0;15483;8768;6715;387
2020-07-06;209;116;93;0;15692;8884;6808;387
2020-07-07;335;170;165;0;16027;9054;6973;387
2020-07-08;311;167;144;0;16338;9221;7117;387
2020-07-09;317;184;133;0;16655;9405;7250;387
2020-07-10;375;208;167;0;17030;9613;7417;387
2020-07-11;69;52;17;0;17099;9665;7434;387
2020-07-12;56;41;15;0;17155;9706;7449;387
2020-07-13;272;251;21;0;17427;9957;7470;387
2020-07-14;290;290;0;0;17717;10247;7470;387
2020-07-15;66;66;0;0;17783;10313;7470;387
2020-07-16;0;0;0;0;17783;10313;7470;387
2020-07-17;1;1;0;0;17784;10314;7470;387
2020-07-18;3;3;0;0;17787;10317;7470;387
2020-07-19;1;1;0;0;17788;10318;7470;387
2020-07-20;1;1;0;0;17789;10319;7470;387
2020-07-21;0;0;0;0;17789;10319;7470;387
2020-07-22;0;0;0;0;17789;10319;7470;387
2020-07-23;0;0;0;0;17789;10319;7470;387
2020-07-24;0;0;0;0;17789;10319;7470;387
2020-07-25;0;0;0;0;17789;10319;7470;387
2020-07-26;1;0;1;0;17790;10319;7471;387
2020-07-27;0;0;0;0;17790;10319;7471;387
2020-07-28;0;0;0;0;17790;10319;7471;387
2020-07-29;0;0;0;0;17790;10319;7471;387
2020-07-30;0;0;0;0;17790;10319;7471;387
2020-07-31;0;0;0;0;17790;10319;7471;387
2020-08-01;0;0;0;0;17790;10319;7471;387
2020-08-02;0;0;0;0;17790;10319;7471;387
2020-08-03;0;0;0;0;17790;10319;7471;387
2020-08-04;0;0;0;0;17790;10319;7471;387
2020-08-05;0;0;0;0;17790;10319;7471;387
2020-08-06;0;0;0;0;17790;10319;7471;387
2020-08-07;0;0;0;0;17790;10319;7471;387
2020-08-08;0;0;0;0;17790;10319;7471;387
2020-08-09;0;0;0;0;17790;10319;7471;387
2020-08-10;0;0;0;0;17790;10319;7471;387
2020-08-11;0;0;0;0;17790;10319;7471;387
2020-08-12;0;0;0;0;17790;10319;7471;387
2020-08-13;0;0;0;0;17790;10319;7471;387
2020-08-14;0;0;0;0;17790;10319;7471;387
2020-08-15;0;0;0;0;17790;10319;7471;387
2020-08-16;0;0;0;0;17790;10319;7471;387
2020-08-17;0;0;0;0;17790;10319;7471;387
2020-08-18;0;0;0;0;17790;10319;7471;387
2020-08-19;0;0;0;0;17790;10319;7471;387
